game_id,platform_id
209,29
210,15
210,28
211,15
211,31
211,32
212,15
212,21
212,29
212,32
213,15
213,21
214,14
214,15
214,21
214,22
214,29
214,30
215,15
215,22
215,30
216,8
216,15
216,32
217,15
218,15
218,21
218,22
219,15
219,20
219,28
220,1
220,15
220,21
220,31
220,32
221,8
221,14
221,15
221,21
221,29
221,31
221,32
222,8
222,15
222,31
222,32
223,15
223,21
223,22
223,24
223,29
223,30
224,15
224,21
225,15
225,27
226,15
226,19
226,20
226,32
227,15
227,20
227,28
227,29
227,32
228,15
228,20
228,26
228,28
228,32
229,8
229,15
229,21
229,29
229,32
230,1
230,15
230,31
231,15
231,21
231,29
232,15
232,21
232,22
232,29
233,15
233,20
233,28
234,15
234,21
234,22
234,29
234,30
235,8
235,15
235,21
235,29
235,32
236,15
236,21
236,29
237,15
237,20
237,28
238,15
238,20
238,21
238,28
238,29
